trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
216,False,"{'a': 0.2, 'e': 0.3386767948568688}",30,0,-51.06509209033585,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
217,False,"{'a': 0.2, 'e': 0.33698341088258443}",20,14,-2.507732250568145,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.3352984938281715}",25,12,8.156122958682646,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.33362200135903064}",20,6,-6.884116080784069,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.33195389135223546}",25,0,-61.58938016780372,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
221,False,"{'a': 0.2, 'e': 0.3302941218954743}",25,3,-104.0110591248366,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 2}",1
222,False,"{'a': 0.2, 'e': 0.32864265128599696}",35,24,7.895533320927666,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.2, 'e': 0.326999438029567}",35,6,-36.594243064674956,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.3253644408394192}",20,4,-30.196203522693178,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
225,False,"{'a': 0.2, 'e': 0.3237376186352221}",20,10,-67.81469439326953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
226,False,"{'a': 0.2, 'e': 0.322118930542046}",25,10,0.34201264212401905,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.32050833588933575}",20,5,3.6644005279645,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.2, 'e': 0.31890579420988907}",25,0,17.025843086287324,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
229,False,"{'a': 0.2, 'e': 0.3173112652388396}",20,15,11.750142440752976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.2, 'e': 0.3157247089126454}",20,11,9.728255305632258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.3141460853680822}",25,0,-28.59414443284088,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
232,False,"{'a': 0.2, 'e': 0.3125753549412418}",20,0,-22.688086554521444,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
233,False,"{'a': 0.2, 'e': 0.31101247816653554}",25,17,10.75082787901192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.2, 'e': 0.30945741577570285}",20,9,22.446716350672464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.3079101286968243}",20,0,-97.47801014403191,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
236,False,"{'a': 0.2, 'e': 0.3063705780533402}",25,12,-20.277285444134616,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.30483872516307353}",20,0,-28.0165752050066,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
238,False,"{'a': 0.2, 'e': 0.3033145315372582}",30,6,14.992131122784267,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.3017979588795719}",30,0,9.147927234442122,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
240,False,"{'a': 0.2, 'e': 0.30028896908517405}",20,13,7.5376754933396475,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.2, 'e': 0.2987875242397482}",30,9,17.466594396216127,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.2, 'e': 0.29729358661854943}",20,12,1.6568239563085891,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.2, 'e': 0.29580711868545667}",25,3,9.422173072915008,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.2, 'e': 0.2943280830920294}",30,15,3.8656694696123353,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.2, 'e': 0.29285644267656924}",25,0,-31.819393363985505,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
246,False,"{'a': 0.2, 'e': 0.2913921604631864}",25,0,-4.953507271411507,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
247,False,"{'a': 0.2, 'e': 0.28993519966087045}",30,6,9.282661675529173,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.2, 'e': 0.2884855236625661}",25,3,-51.07882951391988,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
249,False,"{'a': 0.2, 'e': 0.28704309604425327}",25,17,10.204481349609727,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.2, 'e': 0.285607880564032}",30,16,21.669596647918272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.2, 'e': 0.28417984116121187}",20,7,15.130850716846355,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.2, 'e': 0.2827589419554058}",20,0,-80.85992543050013,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
253,False,"{'a': 0.2, 'e': 0.28134514724562876}",25,16,10.522663213990043,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.2, 'e': 0.2799384215094006}",35,13,36.37254011334926,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.2, 'e': 0.27853872940185365}",20,5,18.463248722454438,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.2, 'e': 0.27714603575484437}",20,6,14.370852745224898,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.2, 'e': 0.2757603055760701}",20,6,4.3620613442632,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.2, 'e': 0.2743815040481898}",20,10,-43.47824228382926,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
259,False,"{'a': 0.2, 'e': 0.2730095965279488}",20,6,-57.91591378326354,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
260,False,"{'a': 0.2, 'e': 0.27164454854530906}",25,0,-76.23129776805051,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
261,False,"{'a': 0.2, 'e': 0.2702863258025825}",20,12,3.984063265663079,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.2, 'e': 0.2689348941735696}",30,7,-30.02244405080955,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
263,False,"{'a': 0.2, 'e': 0.26759021970270175}",20,15,1.8811173687452438,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.2, 'e': 0.2662522686041882}",25,14,3.3909804196376196,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.2, 'e': 0.2649210072611673}",20,4,-18.15149782335902,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
266,False,"{'a': 0.2, 'e': 0.26359640222486147}",20,0,19.095808973433705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
267,False,"{'a': 0.2, 'e': 0.26227842021373715}",25,0,-7.12176571982268,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
268,False,"{'a': 0.2, 'e': 0.2609670281126685}",20,6,20.826057923421587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.2, 'e': 0.25966219297210513}",25,7,-47.514891808316044,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
270,False,"{'a': 0.2, 'e': 0.2583638820072446}",30,16,-20.748660655075785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.2, 'e': 0.2570720625972084}",30,10,-9.54816620041351,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
272,False,"{'a': 0.2, 'e': 0.25578670228422234}",30,2,-120.24555773436688,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 3}",1
273,False,"{'a': 0.2, 'e': 0.25450776877280124}",20,0,-15.620007617832735,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
274,False,"{'a': 0.2, 'e': 0.2532352299289372}",25,0,-42.10780841888696,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
275,False,"{'a': 0.2, 'e': 0.2519690537792925}",25,5,17.599830714193867,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
